723890,"""SCL CHILE""",CA,-4,-33.456,-70.661,547
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2001,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,14.6,A,7,14.6,A,7,100,A,7,949,A,7,80,A,7,2.1,A,7,4800,A,7,77777,A,7,0.7,E,8,0.11,F,8,-9900,?,0,-9900,-9900,?,0
01/01/2001,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,14.1,A,7,14.1,A,7,100,A,7,949,A,7,0,A,7,0,A,7,4800,A,7,77777,A,7,0.7,E,8,0.11,F,8,-9900,?,0,-9900,-9900,?,0
01/01/2001,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,13.6,A,7,13.6,A,7,100,A,7,948,A,7,90,A,7,2.1,A,7,4000,A,7,77777,A,7,0.7,E,8,0.11,F,8,-9900,?,0,-9900,-9900,?,0
01/01/2001,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,13.3,A,7,13.3,A,7,100,A,7,949,A,7,50,A,7,2.6,A,7,4000,A,7,77777,A,7,0.7,E,8,0.11,F,8,-9900,?,0,-9900,-9900,?,0
01/01/2001,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,12.8,A,7,12.8,A,7,100,A,7,949,A,7,50,A,7,2.1,A,7,4000,A,7,77777,A,7,0.7,E,8,0.11,F,8,-9900,?,0,-9900,-9900,?,0
01/01/2001,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,12.3,A,7,12.3,A,7,100,A,7,950,A,7,40,A,7,1.5,A,7,4000,A,7,77777,A,7,0.7,E,8,0.11,F,8,-9900,?,0,-9900,-9900,?,0
01/01/2001,07:00,32,1415,21,1,0,0,1,0,21,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,14.4,A,7,13.1,A,7,92,A,7,949,A,7,30,A,7,1.5,A,7,3200,A,7,77777,A,7,0.7,E,8,0.11,F,8,-9900,?,0,-9900,-9900,?,0
01/01/2001,08:00,285,1415,190,1,9,442,1,9,74,1,13,2027,1,9,1353,1,9,1934,1,13,269,1,18,1,A,7,1,A,7,16.6,A,7,14.4,A,7,87,A,7,950,A,7,50,A,7,1.5,A,7,1600,A,7,77777,A,7,0.6,E,8,0.11,F,8,-9900,?,0,-9900,-9900,?,0
01/01/2001,09:00,584,1415,390,1,9,600,1,6,114,1,9,15824,1,9,19968,1,6,11634,1,9,1989,1,14,0,A,7,0,A,7,18.9,A,7,15.6,A,7,81,A,7,950,A,7,0,A,7,0,A,7,1800,A,7,77777,A,7,0.8,E,8,0.11,F,8,-9900,?,0,-9900,-9900,?,0
01/01/2001,10:00,878,1415,585,1,9,685,1,6,147,1,9,33488,1,9,46963,1,6,17200,1,9,3005,1,14,0,A,7,0,A,7,22.2,A,7,17.7,A,7,76,A,7,950,A,7,0,A,7,0,A,7,1800,A,7,77777,A,7,0.9,E,8,0.11,F,8,-9900,?,0,-9900,-9900,?,0
